"Año","ex","inferior","superior"
1950,12.0166262080439,NA,NA
1951,12.3488492087551,NA,NA
1952,12.2307888456381,NA,NA
1953,13.2258741704055,NA,NA
1954,13.0570054861345,NA,NA
1955,13.0753138371037,NA,NA
1956,13.1784844352432,NA,NA
1957,13.1050680999344,NA,NA
1958,13.2696673722963,NA,NA
1959,13.4503827292002,NA,NA
1960,13.4976794048015,NA,NA
1961,13.8896368305024,NA,NA
1962,13.8525583077197,NA,NA
1963,13.7625700404552,NA,NA
1964,14.0691985147437,NA,NA
1965,13.959738260859,NA,NA
1966,13.8914052927294,NA,NA
1967,14.0797283992398,NA,NA
1968,13.7720409679118,NA,NA
1969,13.836862957551,NA,NA
1970,14.3404483219556,NA,NA
1971,14.350305127971,NA,NA
1972,14.4092705137307,NA,NA
1973,14.4621760302412,NA,NA
1974,14.6178062838814,NA,NA
1975,14.8299140813601,NA,NA
1976,14.8216214367133,NA,NA
1977,14.904646537621,NA,NA
1978,15.1584438581297,NA,NA
1979,15.1425152726715,NA,NA
1980,15.0732898935536,NA,NA
1981,15.2599146849246,NA,NA
1982,15.4003281686885,NA,NA
1983,15.6229511561552,NA,NA
1984,15.7185622530728,NA,NA
1985,15.6046401868563,NA,NA
1986,15.856448980064,NA,NA
1987,15.8851120579092,NA,NA
1988,15.6930985694569,NA,NA
1989,15.7931388908882,NA,NA
1990,15.9178902670243,NA,NA
1991,16.0488830128891,NA,NA
1992,16.0949161435373,NA,NA
1993,16.1459669432428,NA,NA
1994,16.1923879474609,NA,NA
1995,16.1377661973953,NA,NA
1996,16.3285223997796,NA,NA
1997,16.467723209381,NA,NA
1998,16.5706271051232,NA,NA
1999,16.8225331273297,NA,NA
2000,17.1775429098927,NA,NA
2001,17.2821488292739,NA,NA
2002,17.1616289925414,NA,NA
2003,17.0749110842498,NA,NA
2004,17.2518316067988,NA,NA
2005,17.1321540533713,NA,NA
2006,17.2985081587093,NA,NA
2007,17.1993924153156,NA,NA
2008,16.95324747118,NA,NA
2009,16.7505938544256,NA,NA
2010,16.6239233819006,NA,NA
2011,16.7380106225564,NA,NA
2012,16.821773042642,NA,NA
2013,16.8151080858236,NA,NA
2014,16.6999002323403,NA,NA
2015,16.5039695596465,NA,NA
2016,16.8839327403502,16.3289919275932,17.4942715134105
2017,16.8890324768571,16.216005595013,17.5894174104467
2018,16.9279641531416,16.5217434090411,17.6409954710465
2019,16.9691947738016,16.5063594762155,17.7965282111882
2020,17.0218804231926,16.45734627327,17.8530881007114
2021,17.0768094828199,16.523294091199,17.9398373725137
2022,17.1358272199731,16.5796167351496,18.023858412287
2023,17.1961349847498,16.7235823604342,18.0938741352559
2024,17.2579845353436,16.6205320171285,18.2158477866483
2025,17.3204857125326,16.820533030648,18.2278215086168
2026,17.3836077823473,16.7324642105619,18.3827090841961
2027,17.4470531182125,16.8858536402861,18.4816299199841
2028,17.5107732098253,16.8362993113627,18.4858072458013
2029,17.5746633040465,16.9835755261628,18.6594576174703
2030,17.6386935400769,16.945996765583,18.7510507455373
2031,17.702825051816,17.0664321392584,18.8308537517687
2032,17.7670424910555,17.087205633453,18.8655089268128
2033,17.8313305321483,17.0678240732137,19.0834708212628
2034,17.8956815959228,17.2595185884338,19.1143733724874
2035,17.9600890944003,17.2893751254415,19.1238375955993
2036,18.0245491156292,17.2814033958365,19.2817943167821
2037,18.0890584134944,17.3075305851714,19.3833868466918
2038,18.1536147070428,17.5455172326843,19.4537492922807
2039,18.2182160567163,17.6247309846437,19.5604113030581
2040,18.282860883693,17.6014196133725,19.5510737419805
2041,18.3475477670476,17.6756760300061,19.6650776665462
2042,18.4122754244119,17.7143741280929,19.7140894709713
2043,18.4770426428122,17.6951074358031,20.0368773494768
2044,18.541848263587,17.7715266636128,19.9875371589162
2045,18.6066911577766,17.8855377790486,20.0007478960202
2046,18.6715702181066,17.9386991393536,20.1052542049224
2047,18.7364843499424,18.0660558101731,20.2415131168721
2048,18.8014324675772,18.0490845973429,20.3584906074664
2049,18.8664134908578,18.1357768089165,20.4617721652776
2050,18.9314263436104,18.1698810325444,20.3875857314594
