ESTADO,CODIGO
Aguascalientes,MX01
Baja California,MX02
Baja California Sur,MX03
Campeche,MX04
Coahuila,MX05
Colima,MX06
Chiapas,MX07
Chihuahua,MX08
Ciudad de México,MX09
Durango,MX10
Guanajuato,MX11
Guerrero,MX12
Hidalgo,MX13
Jalisco,MX14
Estado de México,MX15
Michoacán,MX16
Morelos,MX17
Nayarit,MX18
Nuevo León,MX19
Oaxaca,MX20
Puebla,MX21
Querétaro,MX22
Quintana Roo,MX23
San Luis Potosí,MX24
Sinaloa,MX25
Sonora,MX26
Tabasco,MX27
Tamaulipas,MX28
Tlaxcala,MX29
Veracruz,MX30
Yucatán,MX31
Zacatecas,MX32
